review_id,star_rating,helpful_votes,total_votes
R3MYFPQS43VI4U,1,0,1
R2X6C7MF5UNVHR,5,0,0
R1J2NC0YUY1Y43,3,26,26
R26ZROGA3BXGD8,5,0,0
R3I12FCDIY4YBT,5,0,1
R2E55GSF4GD7ZI,5,0,0
R1U3SW7MFTWNY7,5,1,1
R11B5NUL1Y5PD7,4,0,3
R3DZ52E9FZO1V9,1,0,0
RKBTJ69JQKYTP,5,0,0
RZP0EJFXJRWS4,5,0,0
R2XM3IX31B6ZCA,4,0,0
R1VIZCUT3CJX6M,5,0,0
R1TRK3VW1PSRIS,2,4,4
R32PNUCLPPPLY7,5,0,0
R36VNN7H6Y597C,1,17,17
RBVFYMZVC7E7H,5,0,0
R1G9W34K9J6GD9,1,8,25
R2FMZH05YHNJSH,5,1,1
R484UNBYWBYKD,1,1,2
R23WYQQ34RFQXC,3,0,0
RMO5F3OIVRTV7,5,0,0
R2O12V408PZU7N,5,1,3
R15TZKEIAQHYMX,3,1,4
RX7B2UBH6YONF,5,0,0
R2GFL9UQXN3B6Z,5,0,0
R3JROQAH22L01I,5,0,0
RA3Y1L4JF2VLA,5,0,0
RESS0RGGMABY2,3,1,1
R2S9JIXV07NO01,5,0,0
R2RNPKCP2CZ5US,5,0,0
R5I5MOGX7FLB8,5,0,0
R1VJG4HNXCXPJD,5,0,0
RTFIOORXF6JRV,5,0,0
R8MQTE8XYMY9D,3,0,0
R2TGJKKX6KO0NW,4,0,0
R2U1AB2YQ4OZSY,5,0,0
R107U3DTMQDOC9,3,0,1
R19YXN8JXUVJC4,5,0,0
R1E05A7YRT76WW,5,0,1
RD6XGZZMTL3EH,5,2,4
R3HCBQUU55VR73,3,0,0
R1EW92B0MG779F,5,0,0
RZGIJVP1A8ZEJ,5,2,3
R2SQGVV77LFKQN,5,0,0
R1WSSJ8B3LO3PF,5,0,0
R3PZ9K7X4VPEK1,3,0,0
R1UMADELETFZXT,1,0,7
R3TJZJOEWU4VDE,5,0,0
R2YT8HRU78BNYQ,5,1,1
RRRYGNTWBYYAC,2,3,6
R2M4RSPQOCONFG,1,1,1
R1ZKJUAY8XBHXX,4,2,3
R2OFMT4YTS20FT,1,2,6
R19R8D16CKTU1V,1,3,4
R1YM90IZ5ED638,5,0,0
R1I39NB2J7WYKH,3,0,0
R9JTVF6FN7AE9,2,0,0
R39OFBDS1TWSWZ,3,0,1
R33GPXRH12S2U,5,0,0
RWIF7KC2O4NXL,2,0,0
R1WJZB6S0XM5Y2,5,0,0
RB9W9NIAE7LQK,5,0,0
R3M9WR1VK74KT6,1,1,6
R2U1FG2RRF8B7T,1,9,10
R1KF76235NWTHQ,2,3,3
R280MLOE59LGO3,5,1,1
RZOZ90ZZOEM7H,5,0,0
R30JYMRLOWSA7O,4,0,0
RZRAKBZV8JI0U,1,0,2
R1QPTFU8KV5S9V,5,0,0
R24ADR7IVG6DTS,5,0,0
R3MCNUGT1EUO6H,1,0,0
RAL08RUB2XL1O,1,0,0
R15M59V4C33W84,5,0,0
R2J3J5BO634ECD,4,5,5
R2F547M853RHNH,3,0,0
R2QX7JGJKRFM0E,3,0,0
R1QDQ5HOV9I7A7,5,0,0
R2A3MCEUYQJW5M,5,0,0
R7IWLETVPP1FQ,1,0,1
R2QLRM03FHF3OZ,4,0,0
R1PJZSB5RGKV03,5,0,0
R151DOEVU09ZW6,5,1,2
R1OUL2MGZ10FG2,5,0,0
R13TAC2NM0CJBM,1,1,1
R3LEB1FOOILWFQ,5,0,0
R3D24XIETWGK1G,5,0,0
R3LLGIEZ4O6LLN,5,0,0
R2D7W47KEKTDZ6,5,0,0
R39OP61F5JP92O,4,0,0
R2P7JRI75BOPNT,4,0,0
R1DWIKAKF1IWNR,5,0,0
R154I1ER2790EF,3,6,6
R18RLXWKKZ3PQJ,5,0,0
RO1GF5XE6W5BG,5,0,0
R35TZ2LHQSBI0V,5,0,0
R8L9BIUOB9LQI,5,0,0
RBUET7SLL85BW,5,1,1
R2P0Q0ADMEPCVV,2,1,16
R1CHIC0Q6GSDCA,5,0,0
RITEGMUJQ7WUV,2,0,0
R1RBLY1XR8GO0B,5,0,0
R2XXVZGW4RZ5SU,1,4,6
R2YQLGTCEGEBGL,3,0,0
R2JJRM9JFDRTTT,5,0,0
R2CHQYH9MZ13B6,4,0,0
RUUA8XSW163IS,5,13,13
R1G5XDHQFR4T45,5,1,1
R3C6J903RXEWES,4,0,1
R2NIYN6Q3YAL2D,5,0,0
R26JA3XTFOV7UJ,5,0,0
R1T5NR6V6L1NM4,1,8,9
R3QD7UEQ8AO92B,4,0,0
R3JFW4GOZLW59W,5,0,0
R33XVK7HEC4OAI,1,26,29
R18SRP4O2Q8YXV,5,1,2
R1G14VXW9NJY4F,3,6,8
R1YMQBYH91S3P7,4,0,0
REUNUK8GSPY4O,5,1,7
RYPJC9ODILK6S,5,0,0
RP25PF4K5J6BE,5,0,0
R25XDNNCA7HQUW,5,0,0
R3QKJRKX1CT65P,5,0,0
R3TALPKE2PQMFK,5,0,0
R3ROT4RTQNB31H,5,0,0
RLBS2Z8F470Y1,5,0,0
R2VHX8CZQGC0OM,4,0,0
R2J64A9SO3A6NI,5,0,1
RTYYD3TS8FIVQ,1,0,2
R1XQW8NQ23KPLY,5,0,0
RP20Q46EQD9MX,5,0,0
R2Y5U5CWZRG41A,5,0,0
R6Z24F47XCGSE,5,0,0
RNCEVMJBM4VR4,2,0,0
R2PADN005NEGJB,5,0,0
RU1DIIB8YKVPB,5,0,1
R89H9S5O745MO,3,2,2
RU2J4PMO1KARQ,5,0,0
R2I67TCP6W7D56,5,0,0
R36DUGIMZ3U84D,5,0,0
R1OIOOE9MZJ4Z,5,0,0
R3M8ZC01KCCS0P,5,0,0
R264SH3MPYLO6T,1,2,15
R18P52S1672MRC,2,0,0
RJ9X8Q8IYMTLR,5,0,0
R4NTKI9R922G4,5,0,0
R1GLL9RVECIRCW,2,0,0
R1J845FGNLXA,4,0,0
RTYPJ88MP4EI7,5,0,0
R1VKA6RWZAXUWI,5,0,0
RJNSB20ZYBWWK,5,0,0
R2SOB58AX689J2,3,0,0
